,Event_Name,Venue,Event_Date,Number_of_Attendees
15,"Bizarre Disco: Aaron DRM, Peter Matson, Disgonuts at Bizarre Bushwick / Bizarre Bar",Bizarre Bushwick / Bizarre Bar,2018-02-03,2
16,Vyvn at TBA - New York,TBA - New York,2018-02-03,22
17,Auxilarate presents: Age of Aquarius at The Keep,The Keep,2018-02-03,7
18,E X C A V A T I O N at Tilt BK,Tilt BK,2018-02-03,6
19,Willie Graff & Danilo Braca at Le Bain,Le Bain,2018-02-03,5
20,RAW Static Membership Saturday Morning After Hours Music By: Anelo Pontecorvo at TBA - New York,TBA - New York,2018-02-03,3
21,Bassment at Brooklyn Bazaar,Brooklyn Bazaar,2018-02-03,2
22,Pew Pew at Sensei Bar NYC,Sensei Bar NYC,2018-02-03,2
23,The Ananda Theory / Vagara at Halcyon The Shop,Halcyon The Shop,2018-02-03,2
24,Quiet Clubbing with Geo Vanasco at Cantina Rooftop,Cantina Rooftop,2018-02-03,1
25,"Arctic Atlantis with Tedd Patterson, Steve Tek at House Of Yes",House Of Yes,2018-02-03,1
26,Cliff Gerdes & Special Guests at Black Flamingo,Black Flamingo,2018-02-03,1
27,Techno Cumbia at El Manaba,El Manaba,2018-02-03,1
28,Saturdays on Doha Nightclub at Doha Club,Doha Club,2018-02-03,1
29,TAJ Saturdays at Taj Lounge,Taj Lounge,2018-02-03,
30,Le Reve Saturdays at Le Reve,Le Reve,2018-02-03,
0,Bitchfest 2 at Ceremony,Ceremony,2018-02-04,32
1,Cancelled - Planetarium with Eamon Harkin Djing and Todd Sines Playing Live at Nowadays,Nowadays,2018-02-04,14
2,Sintastic Sunday Morning Static Membership After Hours present: Johnny Vicious at TBA - New York,TBA - New York,2018-02-04,3
3,Birdcage with Lina Bradford & Steve Travolta at Le Bain,Le Bain,2018-02-04,3
4,Fahrenheit III XI Bowl at Bossa Nova Civic Club,Bossa Nova Civic Club,2018-02-04,3
5,Super Bowl Sunday at Doha at Doha Club,Doha Club,2018-02-04,2
6,Tony Touch & Mrvoodoo Ray - Funkboxnyc at Cielo,Cielo,2018-02-04,1
0,Industry Night with Elon David Paglia at TBA Brooklyn,TBA Brooklyn,2018-02-05,5
1,Chroma Being *4.0* at Bossa Nova Civic Club,Bossa Nova Civic Club,2018-02-05,4
2,Konkrete Jungle OG X Konkrete Dancehall at The Delancey,The Delancey,2018-02-05,1
0,Techno Bangs at Bossa Nova Civic Club,Bossa Nova Civic Club,2018-02-06,7
1,Tuesday Creatures Surprise with Alex Arnout / Steven Letigre / Rhys Samson at TBA Brooklyn,TBA Brooklyn,2018-02-06,4
2,"Drum & Lace, Prism House and Primitive Heart at C'mon Everybody",C'mon Everybody,2018-02-06,3
3,Feel Real presents: Music Is My Drug at Rumpus Room,Rumpus Room,2018-02-06,2
4,Pusha T at Up & Down at Up&Down,Up&Down,2018-02-06,
0,House of Vogue at House Of Yes,House Of Yes,2018-02-07,5
1,Momentum/RoW with Matias Jofre / Borislava / Tony Paniro at TBA Brooklyn,TBA Brooklyn,2018-02-07,17
2,Distrikt 1 at Bossa Nova Civic Club,Bossa Nova Civic Club,2018-02-07,6
0,"SOPHIE (DJ Set), Juliana Huxtable, Pig, Buckmonster at Elsewhere",Elsewhere,2018-02-08,18
1,Sharam (Extended Digital & Vinyl Set) at Good Room,Good Room,2018-02-08,48
2,Phil Moffa and DJ Spider at Nowadays,Nowadays,2018-02-08,22
3,"Paris Paris with Palmish, Corazon De Melon & (M_K) at The Black Lodge",The Black Lodge,2018-02-08,11
4,Insight - Youandewan/ Ohm G in The Panther Room at Output,Output,2018-02-08,11
5,Simonsays with Simon Wish/ Ale Sab/ Maria Ton / Chris Sanabria at TBA Brooklyn,TBA Brooklyn,2018-02-08,9
6,Made In Green presents: L.Sangre / Max Mcferren / Vasco Ispirian at Bossa Nova Civic Club,Bossa Nova Civic Club,2018-02-08,8
7,Whitney Fierce x Elle Dee at Rose Gold,Rose Gold,2018-02-08,4
8,"ZigZag + Discreet present Boots & Kats, Creed-C, Jack Thompson & Steve Tek at Le Bain",Le Bain,2018-02-08,3
9,90s Night with DJ Dirtyfinger at House Of Yes,House Of Yes,2018-02-08,2
10,"yes&yay presents: Church Service - Saqib, A-Kintero, Nico Kass at Macao Trading Company",Macao Trading Company,2018-02-08,2
11,Quality Control Thursday Deep Sessions at Keybar,Keybar,2018-02-08,2
12,The Get Down at House Of Yes,House Of Yes,2018-02-08,1
13,Burlesque Show Afterparty at Nurse Bettie,Nurse Bettie,2018-02-08,1
14,Sub Sirren' Dub-Stuy Residency at Black Flamingo,Black Flamingo,2018-02-08,1
0,Pandemonium: Omar-S at Good Room,Good Room,2018-02-09,209
1,"Ooze with Marcel Fengler, Bjarki, Veronica Vasicka, FIT Siegel, + Francois K Techno set at TBA - Brooklyn",TBA - Brooklyn,2018-02-09,143
2,"Quiet Time w Buttechno, Anthony Naples, Hank Jackson & Rrao at H0L0",H0L0,2018-02-09,111
3,"Bespoke Musik: Gorje Hewek & Izhevski (All Day I Dream), Wild Dark, Christian Voldstad at The Paper Box",The Paper Box,2018-02-09,109
4,Leaving New York presents Shanti Celeste & Working Women at Nowadays,Nowadays,2018-02-09,106
5,Party Line with Rick Wilhite (Extended set) + BLT & Toribio at TBA - New York,TBA - New York,2018-02-09,86
6,"Walker & Royce, Dances with White Girls, The Golden Pony at Elsewhere",Elsewhere,2018-02-09,86
7,Deep & Sexy - Alex Cruz/ Arturo Chi'en at Output and Marques Wyatt in The Panther Room at Output,Output,2018-02-09,54
8,Thesis New York with Vinyl Speed Adjust at TBA Brooklyn,TBA Brooklyn,2018-02-09,38
9,Feel The Spirit with Jellybean Benitez at Drom,Drom,2018-02-09,18
10,Justin Strauss // Barbie Bertisch // Kyle & Griff at Louie & Chan,Louie & Chan,2018-02-09,14
11,Bushwick A/V Afterhours: Vinyl Speed Adjust / Hunter Vita / Hristo / Jessie at Studio 299,Studio 299,2018-02-09,7
12,Mini Mall: Liquidator at Secret Project Robot,Secret Project Robot,2018-02-09,4
13,"Miss Jennifer, Shahar, Diego Garcia at Schimanski",Schimanski,2018-02-09,1
14,Dancing Room Only with Son of Sound & Rissa Garcia at Rose Gold,Rose Gold,2018-02-09,11
15,Art Pop with Mark Farina at House Of Yes,House Of Yes,2018-02-09,8
16,Busy P's Threesome Party at Le Bain,Le Bain,2018-02-09,8
17,Elrow x Cipriani: New York Fashion Week at Cipriani 42nd St.,Cipriani 42nd St.,2018-02-09,6
18,Jex & Roberto Celebrate 5 yrs of Good Timin' with Tom Noble at Black Flamingo,Black Flamingo,2018-02-09,6
19,Pleasure Jams ft Jacques Renault (Let's Play House) at C'mon Everybody,C'mon Everybody,2018-02-09,4
20,Dance Dungeon: Brenecki b2b Maroje T at Tilt BK,Tilt BK,2018-02-09,4
21,"Above - Sleepy & Boo, Tristan Dominguez, Oscar Castro, Alex Harvey at Mccarren Hotel Rooftop",Mccarren Hotel Rooftop,2018-02-09,4
22,Elderbrook with Imagine Herbal Flows- Knitting Factory at Knitting Factory,Knitting Factory,2018-02-09,3
23,The Assembly: Ms. Yoo Re-Up at Ms. Yoo,Ms. Yoo,2018-02-09,3
24,"Dondadi, Eerie Gaits, Nikki at Magick City",Magick City,2018-02-09,2
25,"Microtones: The Sunshine Group, Wiggly Mcfingers at Forest City Lodge 180",Forest City Lodge 180,2018-02-09,2
26,The Jook Jam - with Special Guest Jadalareign at The Emerson,The Emerson,2018-02-09,2
27,IVY 4.0 at Jupiter Disco,Jupiter Disco,2018-02-09,2
28,LUST: Valentine's Feast and Fête at Lot 45,Lot 45,2018-02-09,1
29,Patrick & PJ at The Twenty,The Twenty,2018-02-09,1
30,Lights Out Glow Party  at Doha Club,Doha Club,2018-02-09,1
31,Body Roll Party at Highline Ballroom,Highline Ballroom,2018-02-09,1
32,Pandamonium presents: The Launch at Sunnyvale,Sunnyvale,2018-02-09,
0,"The Bunker with Paranoid London, Jane Fitz, Mike Servito & Derek Plaslaiko, Further Reductions, at Elsewhere",Elsewhere,2018-02-10,364
1,Chus + Ceballos/ Rafa Barrios at Output and Ari El (Open to Close) in The Panther Room at Output,Output,2018-02-10,263
2,Do Not Sit In NY at Mona Liza,Mona Liza,2018-02-10,217
3,"Waze & Odyssey, Secondcity, Denney with Soup/RVDIOVCTIVE/SOE at Analog Bkny",Analog Bkny,2018-02-10,139
4,ReSolute presents Discobar at TBA - New York,TBA - New York,2018-02-10,112
5,The Carry Nation: February: Good Room at Good Room,Good Room,2018-02-10,111
6,Mister Saturday Night at Nowadays,Nowadays,2018-02-10,35
7,Anti-Social presents: The Anti-Social Loft at TBA - Brooklyn,TBA - Brooklyn,2018-02-10,18
8,Groove. with K1W1 / Kika / Allan M. at TBA Brooklyn,TBA Brooklyn,2018-02-10,14
9,Sander van Doorn at Schimanski,Schimanski,2018-02-10,13
10,Bushwick A/V Afterhours: Alton Miller / Gio Gulez/ Myroslaw Bytz at Studio 299,Studio 299,2018-02-10,10
11,"Epicenter31: Bunzer0, Malleus & More at The Brown Note",The Brown Note,2018-02-10,4
12,Funky Seshwa Groove For A Cause: Benefiting the Lens On Life Project at Tilt BK,Tilt BK,2018-02-10,3
13,G House NYC: The Love House at TBA - Brooklyn,TBA - Brooklyn,2018-02-10,2
14,The Lot Radio Two Year Anniversary at Brooklyn Bazaar,Brooklyn Bazaar,2018-02-10,25
15,"Umfang, Doss & 38 at H0L0",H0L0,2018-02-10,15
16,Discwoman Takeover at Cinderblock People,Cinderblock People,2018-02-10,11
17,Manchild (In The Promised Land) at Le Bain,Le Bain,2018-02-10,11
18,Fist VI at Alphaville,Alphaville,2018-02-10,11
19,[NYC DNB] Driven AM presents: Mason at Sunnyvale,Sunnyvale,2018-02-10,5
20,RAW Static Membership Saturday Morning After Hours Music By: Jindo at TBA - New York,TBA - New York,2018-02-10,5
21,Hidden Recordings Record Release at Halcyon The Shop,Halcyon The Shop,2018-02-10,4
22,DPV House presents: Love is in the House with Music by Martín at Don Pancho Villa,Don Pancho Villa,2018-02-10,4
23,Safe & Bossa Nova present Black Merlin at Bossa Nova Civic Club,Bossa Nova Civic Club,2018-02-10,4
24,Elderbrook with Imagine Herbal Flows- Knitting Factory at Knitting Factory,Knitting Factory,2018-02-10,3
25,Will Dimaggio x Ronan x Mike Bloom at Black Flamingo,Black Flamingo,2018-02-10,3
26,Sweet Tooth - A Candy Rave at Secret Loft,Secret Loft,2018-02-10,3
27,"Adhd with Thomas Delta, M.Vaughan, & Seth Magoon at Louie & Chan",Louie & Chan,2018-02-10,3
28,Matoma at Terminal 5,Terminal 5,2018-02-10,2
29,Cirkiz 'Love Is The Message' Valentine's Dance with DJ Alden at Cielo,Cielo,2018-02-10,2
30,Hearts of Bass at The Keep,The Keep,2018-02-10,2
31,"Just Right Loft Party with Josh Milan, Lou Banga, Beast621, Chicago at John's House of Music",John's House of Music,2018-02-10,2
32,La Propia at Rose Gold,Rose Gold,2018-02-10,2
33,House of Love with Amtrac at House Of Yes,House Of Yes,2018-02-10,2
34,Serious Sound presents: Keep the Heat at Studio M,Studio M,2018-02-10,1
35,Olivia Block / Drew Mcdowall / Lea Bertucci at Issue Project Room,Issue Project Room,2018-02-10,1
36,Family Dance Brooklyn - Season 5 Kick-off at C'mon Everybody,C'mon Everybody,2018-02-10,1
37,Love or Lust at Club Amadeus,Club Amadeus,2018-02-10,1
38,Inception at On Now Lounge,On Now Lounge,2018-02-10,1
0,Planetarium with Josh Dunn and Justin Carter Djing and Relaxer Playing Live at Nowadays,Nowadays,2018-02-11,24
1,Discreet presents: Boots & Kats / Jack Thompson / Creed-C at Bossa Nova Civic Club,Bossa Nova Civic Club,2018-02-11,10
2,Lifted with Karina (Extended set) & Ika at TBA Brooklyn,TBA Brooklyn,2018-02-11,6
3,Sintastic Sunday Morning Static Membership After Hours present: Clyde P & Paolicelli at TBA - New York,TBA - New York,2018-02-11,5
4,Bad Behavior: Queer Valentines at House Of Yes,House Of Yes,2018-02-11,3
5,Birdcage at Le Bain,Le Bain,2018-02-11,3
6,Sunday at The Panther Room,The Panther Room,2018-02-11,2
7,Sunday Sessions with Anthony Lopez & Friends at Doha Club,Doha Club,2018-02-11,2
8,Sundays in The Panther Room - Julio/ Gouranga Clan/ Michel Harruch at Output,Output,2018-02-11,2
9,Tony Touch & Mrvoodoo Ray - Funkboxnyc at Cielo,Cielo,2018-02-11,2
10,"IW with Philly, Franco, Ma Sha, Atripp at Nublu",Nublu,2018-02-11,2
11,Sunday Soul Sessions with Binky Griptite at Threes Brewing,Threes Brewing,2018-02-11,1
0,Windows 8 at Bossa Nova Civic Club,Bossa Nova Civic Club,2018-02-12,6
1,Industry Night with Steve Tek / Cliff Gerdes / Juan Jimenez at TBA Brooklyn,TBA Brooklyn,2018-02-12,6
2,Konkrete Jungle NYC 'feat. Basscake & Lethalness' at The Delancey,The Delancey,2018-02-12,3
0,Traffic Control Label Party with No Regular Play / Taylor Bense at TBA Brooklyn,TBA Brooklyn,2018-02-13,7
1,Friends at Flowers ~ Melizards ~ Trag/c ~ Atripp at Flowers For All Occasions,Flowers For All Occasions,2018-02-13,2
2,Glasser (February Residency) at Union Pool,Union Pool,2018-02-13,2
3,The Crown Heights Radio Affair - Friends and Lovers at Friends & Lovers,Friends & Lovers,2018-02-13,1
4,Funk You with DJ Bruce at House Of Yes,House Of Yes,2018-02-13,1
5,Fat Tuesday at Threes at Threes Brewing,Threes Brewing,2018-02-13,1
0,Deep Space Love Night - DJ Spinna b2b François K. at Output,Output,2018-02-14,62
1,A Love Thậng (Long) Valentines at X Marks The Lot,X Marks The Lot,2018-02-14,8
2,Fuck Love at House Of Yes,House Of Yes,2018-02-14,7
3,Momentum-Row with Connie / Pjay / Eskuche / Corazon de Melon at TBA Brooklyn,TBA Brooklyn,2018-02-14,19
4,Viberz Valentines at Jupiter Disco,Jupiter Disco,2018-02-14,1
5,Lovebreak! Valentines with Jazzy Joyce at Common Ground Bar,Common Ground Bar,2018-02-14,1
6,Fat Tuesday at Threes at Threes Brewing,Threes Brewing,2018-02-14,1
0,"MNMLKTCHN with Delano Smith, Willie Graff & Michel Harruch at Good Room",Good Room,2018-02-15,35
1,A Club Called Rhonda Nyfw at Public Arts,Public Arts,2018-02-15,27
2,"Naafi with FAUSTO Bahía, Debit, Lao, Mexican Jihad at Elsewhere",Elsewhere,2018-02-15,19
3,Mija - Never B Alone Tour at House Of Yes,House Of Yes,2018-02-15,10
4,JIA Thursdays - Hex Hector - Moved to Nublu NYC at Nublu 151,Nublu 151,2018-02-15,10
5,"Jacks FUN House / Hex Hector, Mike Frade & Anelo Pontecorvo at Nublu 151",Nublu 151,2018-02-15,4
6,"Kiss & Tell Party: Love Hangover with Sassmouth, Star Eyes, Beto Cravioto at Bossa Nova Civic Club",Bossa Nova Civic Club,2018-02-15,13
7,Modal Form 13: Aurora Halal / M Parent / Kohl at Jupiter Disco,Jupiter Disco,2018-02-15,10
8,Philogresz All Night Long at TBA Brooklyn,TBA Brooklyn,2018-02-15,10
9,"Paris Paris with Palmish b2b Thomas Delta, Adrien Calvet b2b S.ake at The Black Lodge",The Black Lodge,2018-02-15,9
10,Ike Release and Solpara at Nowadays,Nowadays,2018-02-15,8
11,The Jungle - Manny Ward/ Rob Sperte in The Panther Room at Output,Output,2018-02-15,6
12,John F.M. in The Basement at Kind Regards,Kind Regards,2018-02-15,3
13,IW ~ Haruka ~ Swim ~ Jung Hardware ~ Atripp at Rebecca's,Rebecca's,2018-02-15,3
14,Filthy Habits presents a Post-Vday POP UP at Tilt BK,Tilt BK,2018-02-15,3
15,"yes&yay presents: Thursday Church Service - Resy, &Roses, Claudia Martinez, Nico Kass at Macao Trading Company",Macao Trading Company,2018-02-15,1
16,Syncretics Series: Craig Taborn & Kris Davis at Issue Project Room,Issue Project Room,2018-02-15,1
17,'Digital Explosion' Dub-Stuy Residency at Black Flamingo,Black Flamingo,2018-02-15,1
18,The WARPER PARTY at The Keep,The Keep,2018-02-15,1
19,"Jacks FUN House / Hex Hector, Mike Frade & Anelo Pontecorvo at Nublu 151",Nublu 151,2018-02-15,1
20,Burlesque Afterparty at Nurse Bettie,Nurse Bettie,2018-02-15,1
0,Teksupport: Music On NY with Marco Carola & Danny Tenaglia at Depot 52 Warehouse,Depot 52 Warehouse,2018-02-16,979
1,"Chaos in the CBD, Jayda G, Jacky Sommer, Huerco S, Olin +More at Elsewhere",Elsewhere,2018-02-16,189
2,Output Focus - DJ Harvey (Open to Close) and The Jackie Factory presents Fired Up at Output,Output,2018-02-16,185
3,"Neon Indian (DJ Set), Pleasure Jams, Love Tempo at Good Room",Good Room,2018-02-16,148
4,"Detroit Love: Carl Craig, Kevin Saunderson, Recloose at Schimanski",Schimanski,2018-02-16,118
5,Nails & Wax presents: Terence Fixmer and Gunnar Haslam at TBA - New York,TBA - New York,2018-02-16,88
6,"Worst Behavior: Homemade Weapons, Mizeyesis, Aquarian, Shy Eyez, Anna Morgan, Bell Curve at The Keep",The Keep,2018-02-16,65
7,"Decatur with Max Vaahs, Willie Graff and Taylor Shockley at TBA - New York",TBA - New York,2018-02-16,36
8,"L.Sangre, Justin Cudmore and Liquid Asset at Nowadays",Nowadays,2018-02-16,24
9,All My Friends Are Dj's at The Paper Box,The Paper Box,2018-02-16,16
10,TBA Night with Matt Tolfrey / Joe Foxton at TBA Brooklyn,TBA Brooklyn,2018-02-16,15
11,Bushwick A/V Afters: Matt Tolfrey / Crazy Larry / Sonder Annvsry at Studio 299,Studio 299,2018-02-16,9
12,Edm2018: Winter Wonderland Party at Melrose Ballroom,Melrose Ballroom,2018-02-16,3
13,Playa del Coco with One Tribe at House Of Yes,House Of Yes,2018-02-16,1
14,"Anthony Naples, Physical Therapy, Blazer Sound System at Bossa Nova Civic Club",Bossa Nova Civic Club,2018-02-16,22
15,East Village Disco: Mike Guimond All Night Long at Nublu 151,Nublu 151,2018-02-16,19
16,Justin Miller x Jacques Renault at Black Flamingo,Black Flamingo,2018-02-16,8
17,Red Light Secrets Friday Morning After Hours Music By: Bobby Blaze at TBA - New York,TBA - New York,2018-02-16,3
18,Krystal Klear all Night at Le Bain,Le Bain,2018-02-16,3
19,Mr. Dynamite!: The James Brown Tribute Party w Pete Rock at Friends & Lovers,Friends & Lovers,2018-02-16,3
20,Darshan Jesrani  at Rose Gold,Rose Gold,2018-02-16,2
21,Wolfmind at H0L0,H0L0,2018-02-16,2
22,"Above - Undisclosed with Storyteller, Mikka, Essi, Eddie B at Mccarren Hotel Rooftop",Mccarren Hotel Rooftop,2018-02-16,2
23,"Freedom Club 001- Andi, Multiple Man, Workshop DJS at Ceremony",Ceremony,2018-02-16,2
24,Bettie's Friday Night at Nurse Bettie,Nurse Bettie,2018-02-16,2
25,"New Beat Revival with Rogelio, Bad E, Mr. Curtains, The Chaperone at Mood Ring",Mood Ring,2018-02-16,2
26,The Jook Jam with Jean Sean at The Emerson,The Emerson,2018-02-16,1
27,Valentine's Day Nicolas Vivas Y Su Conjunto Chaney at Doha Club,Doha Club,2018-02-16,1
28,Nocturne presents Neumond at Doux,Doux,2018-02-16,1
29,Pat's House Party at The Bell House,The Bell House,2018-02-16,1
30,System Overload w Sistine Criminals_v4poru_nick Fury_joy Elysse at The Nest Brooklyn,The Nest Brooklyn,2018-02-16,1
31,President's Day Weekend Happy Hour with Nadine at Cinderblock People,Cinderblock People,2018-02-16,1
32,"Kendra Black, Wild Prxfits, Ms Bolo, DJ Julio Caezar at The Mercury Lounge",The Mercury Lounge,2018-02-16,
0,"Sublimate: Ben UFO, Lena Willikens & Hunee at Sugarhill Disco",Sugarhill Disco,2018-02-17,453
1,Oscar G/ Carlos Mena at Output and CurrEnt Entertainment in The Panther Room at Output,Output,2018-02-17,189
2,10yrs Sheik 'N' Beik: Blake Baxter / DJ Di'Jital / Julio / Debit +More at Good Room,Good Room,2018-02-17,181
3,The Bunker Limited with Patrick Russell 8 Hour Set at Nowadays,Nowadays,2018-02-17,148
4,"Phase I with Denise Rabe, Luis Flores (Live), Mary Yuzovskaya and FadeFace at Lockhouse Distillery and Bar, Buffalo/Rochester","Lockhouse Distillery and Bar, Buffalo/Rochester",2018-02-17,62
5,"Analog Bkny: Max Chapman, Espinal & Nova, Ricky Survive at Analog Bkny",Analog Bkny,2018-02-17,62
6,LPH with Jacques Renault & Max Mcferren at Rose Gold,Rose Gold,2018-02-17,23
7,Treetops presents Super Flu at House Of Yes,House Of Yes,2018-02-17,18
8,Sullivan Room with David Hollands/ Sr Serge/ Todd Fatjo/ Rhenalt at TBA Brooklyn,TBA Brooklyn,2018-02-17,8
9,Anti-Social presents: The Anti-Social Loft at TBA - Brooklyn,TBA - Brooklyn,2018-02-17,4
10,Edm2018: Winter Wonderland Party at Melrose Ballroom,Melrose Ballroom,2018-02-17,3
11,CONTROL at Private Loft,Private Loft,2018-02-17,13
12,House of Love 15th Anniversary with Special Guest Tommie Sunshine at Starvue,Starvue,2018-02-17,9
13,whiplash: D. Tiffany / DJ Voices at Bossa Nova Civic Club,Bossa Nova Civic Club,2018-02-17,7
14,Bushwick A/V: Philogresz / Vasco Ispirian / Danielle Nicole at Studio 299,Studio 299,2018-02-17,4
15,Wigout with Junior Sanchez x Love & Logic at Black Flamingo,Black Flamingo,2018-02-17,4
16,Lovefingers & Heidi Lawden at Le Bain,Le Bain,2018-02-17,4
17,LTJ Bukem at Brooklyn Bowl,Brooklyn Bowl,2018-02-17,4
18,UNSEELIE pt. 1: Motion Graphics at Secret Project Robot,Secret Project Robot,2018-02-17,3
19,3LAU at Terminal 5,Terminal 5,2018-02-17,3
20,RAW Static Membership Saturday Morning After Hours Music By: Keoki at TBA - New York,TBA - New York,2018-02-17,2
21,Anti-Social presents - Melissa Nikita - The Birthday at TBA - New York,TBA - New York,2018-02-17,2
22,"Mhysa Fantasii Vinyl Release with Mistress, :3lon, Riichpsycho, Lawd Knows at The Mercury Lounge",The Mercury Lounge,2018-02-17,2
23,Jungle Vibes - Xaman Tulum Pop Up at JIA Lounge,JIA Lounge,2018-02-17,1
24,Syncretics Series: Eric Wubbels / Adam Tendler at Issue Project Room,Issue Project Room,2018-02-17,1
25,Quiet Clubbing with Geo Vanasco at Cantina Rooftop,Cantina Rooftop,2018-02-17,1
26,Saturdays  at Doha Club,Doha Club,2018-02-17,1
27,Willie Graff X Danilo Braca at Jupiter Disco,Jupiter Disco,2018-02-17,
0,Horse Meat Disco - Presidents Day Weekend at Output,Output,2018-02-18,674
1,"Elevation Warehouse Launch: Blond:ish, Sabo, Jonathan Kaspar, Stephanie Szankay at Mona Liza",Mona Liza,2018-02-18,349
2,718 Sessions Presidents Day Holiday Party-2018 at Good Room,Good Room,2018-02-18,135
3,HVOB [live] - Sold out * at Elsewhere,Elsewhere,2018-02-18,106
4,"Stefan Ringer, Fit Of Body, Will Dimaggio b2b DJ Nicely at Rose Gold",Rose Gold,2018-02-18,38
5,"Planetarium with Justin Carter, Maxime Robillard and DJ Sofiia at Nowadays",Nowadays,2018-02-18,37
6,Dennis Cruz at Schimanski,Schimanski,2018-02-18,8
7,"Tiki Disco ft Eli Escobar, Lloydski & Andy Pry at House Of Yes",House Of Yes,2018-02-18,10
8,Sintastic Sunday Morning Static Membership After Hours present: Benny Soto b2b Mike Nervous at TBA - New York,TBA - New York,2018-02-18,6
9,Lifted at TBA Brooklyn,TBA Brooklyn,2018-02-18,6
10,"Green Lady - Sleepy & Boo, The Florist, Mafia B, Adrian Barrin at The Green Lady",The Green Lady,2018-02-18,6
11,LTJ Bukem at Brooklyn Bowl,Brooklyn Bowl,2018-02-18,4
12,"Birdcage with Hex Hector, Jason Ojeda and Christina Calamia at Le Bain",Le Bain,2018-02-18,3
13,Reunions Part II at H0L0,H0L0,2018-02-18,2
14,Sunday Soul Sessions with Binky Griptite at Threes Brewing,Threes Brewing,2018-02-18,1
15,Syncretics Series: Eric Wubbels / Adam Tendler at Issue Project Room,Issue Project Room,2018-02-18,1
16,Tony Touch & Mrvoodoo Ray - Funkboxnyc DJ Q's Birthday at Cielo,Cielo,2018-02-18,1
17,Scandalo 24 with DJs fernanDITO & Snax (Berlin) at Trophy Bar,Trophy Bar,2018-02-18,1
18,President's Ball at Bossa Nova Civic Club,Bossa Nova Civic Club,2018-02-18,1
0,19 Industry Night with Max Vaahs / Zak Moon b2b Taylor Shockley at TBA Brooklyn,TBA Brooklyn,2018-02-19,13
1,Interference AV: Jlin at AMC Empire 25,AMC Empire 25,2018-02-19,7
2,Shhh Static Monday Morning Membership After Hours Music By: Sashi b2b Derek Sampson at TBA - New York,TBA - New York,2018-02-19,7
3,New World Dysorder at Secret Project Robot,Secret Project Robot,2018-02-19,5
4,Konkrete Jungle OG with Anngree/Ryan Conlon/TankTop NYC at The Delancey,The Delancey,2018-02-19,1
0,LPR presents Glasser with L'Amour Bleu & Megha Barnabas at Union Pool,Union Pool,2018-02-20,3
1,Frendzone! // Sofia Kourtesis / Shy Eyez / Kellam Matthews at Bossa Nova Civic Club,Bossa Nova Civic Club,2018-02-20,27
2,Rhythmic Discourse: Sneaker DJ X Alex From Queens X Mscln at Jupiter Disco,Jupiter Disco,2018-02-20,18
3,Tuesday Creatures with Cry Baby / Angelica Ramirez at TBA Brooklyn,TBA Brooklyn,2018-02-20,4
4,Interference AV: Lightning Bolt at AMC Empire 25,AMC Empire 25,2018-02-20,3
5,Do It Properly at Home Sweet Home,Home Sweet Home,2018-02-20,3
0,LPR presents Glasser with L'Amour Bleu & Megha Barnabas at Union Pool,Union Pool,2018-02-21,3
1,Momentum/RoW with Butane / Gera Akate / Richie Dio at TBA Brooklyn,TBA Brooklyn,2018-02-21,25
2,Exile: Arthur Kimskii / FadeFace / Rob Seurat / A.M.D at Bossa Nova Civic Club,Bossa Nova Civic Club,2018-02-21,13
3,Interference AV: The Sun Ra Arkestra directed by Marshall Allen at AMC Empire 25,AMC Empire 25,2018-02-21,6
4,M.B.T.S. - The Scumfrog in The Panther Room at Output,Output,2018-02-21,6
5,Dvsn at Terminal 5,Terminal 5,2018-02-21,5
6,Grateful Dead Night with ICE Petal Flowers at Threes Brewing,Threes Brewing,2018-02-21,1
0,Quantic Residency with DJ Taye at Good Room,Good Room,2018-02-22,29
1,Terminator Records Night with Alexander Technique / Krames / Becka / Max Sprauer at Elsewhere,Elsewhere,2018-02-22,19
2,"Vinyl Please with Ohm Hourani (Anoma Records, MTL) at TBA Brooklyn",TBA Brooklyn,2018-02-22,16
3,Insight - Traumer/ Nando in The Panther Room at Output,Output,2018-02-22,11
4,"Unscented DJ, Shawn Dub and Olive T at Nowadays",Nowadays,2018-02-22,9
5,The Aston Shuffle' and 'Friends at Public Arts,Public Arts,2018-02-22,8
6,JIA Thursdays - Connie & Anelo Pontecorvo at JIA Lounge,JIA Lounge,2018-02-22,3
7,Paris Paris with Palmish and Oktave at The Black Lodge,The Black Lodge,2018-02-22,3
8,David Marston & Corazon de Melon at Rose Gold,Rose Gold,2018-02-22,3
9,'Roots of NYC' Dub-Stuy Residency at Black Flamingo,Black Flamingo,2018-02-22,2
10,Input - CID/ Matt Medved at Output at Output,Output,2018-02-22,2
11,Dirty Thursday: Blacklight Night with DJ Dirtyfinger & James Mulry at House Of Yes,House Of Yes,2018-02-22,1
12,Valgeir Sigurðsson with vōx at Public Arts,Public Arts,2018-02-22,1
13,Flang Flang with Synapson at Le Bain,Le Bain,2018-02-22,1
14,"yes&yay presents: Church Service - Resy, Kinner G, Nico Kass, Luca Graziani at Macao Trading Company",Macao Trading Company,2018-02-22,1
15,One at Hotel Chantelle,Hotel Chantelle,2018-02-22,
0,Teksupport_OTB: Maceo Plex (Open to Close) at Gotham Hall,Gotham Hall,2018-02-23,748
